,id,pergunta,resposta,item
52,52,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
53,53,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
54,54,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
55,55,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
56,56,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
57,57,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
58,58,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
59,59,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
60,60,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
61,61,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
62,62,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
63,63,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
64,64,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
65,65,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
66,66,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
67,67,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
68,68,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
69,69,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
70,70,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
71,71,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
72,72,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
73,73,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
74,74,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
75,75,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
76,76,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
77,77,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
78,78,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
79,79,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
80,80,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
81,81,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
82,82,Qual sua idade?,18 a 20 anos,Qual sua idade? 18 a 20 anos
83,83,Qual sua idade?,18 a 20 anos,Qual sua idade? 18 a 20 anos
84,84,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
85,85,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
86,86,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
87,87,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
88,88,Qual sua idade?,18 a 20 anos,Qual sua idade? 18 a 20 anos
89,89,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
90,90,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
91,91,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
92,92,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
93,93,Qual sua idade?,21 a 25  anos,Qual sua idade? 21 a 25  anos
94,94,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
95,95,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
96,96,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
97,97,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
98,98,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
99,99,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
100,100,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
101,101,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
102,102,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
103,103,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
104,104,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
105,105,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
106,106,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
107,107,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
108,108,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
109,109,Qual sua idade?,Acima de 60 anos,Qual sua idade? Acima de 60 anos
110,110,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
111,111,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
112,112,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
113,113,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
114,114,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
115,115,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
116,116,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
117,117,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
118,118,Qual sua idade?,26 a 30 anos,Qual sua idade? 26 a 30 anos
119,119,Qual sua idade?,51 a 60 anos,Qual sua idade? 51 a 60 anos
120,120,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
121,121,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
122,122,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
123,123,Qual sua idade?,31 a 40 anos,Qual sua idade? 31 a 40 anos
124,124,Qual sua idade?,41 a 50 anos,Qual sua idade? 41 a 50 anos
125,0,Gênero?,Masculino,Gênero? Masculino
126,1,Gênero?,Feminino,Gênero? Feminino
127,2,Gênero?,Masculino,Gênero? Masculino
128,3,Gênero?,Masculino,Gênero? Masculino
129,4,Gênero?,Feminino,Gênero? Feminino
130,5,Gênero?,Feminino,Gênero? Feminino
131,6,Gênero?,Feminino,Gênero? Feminino
132,7,Gênero?,Masculino,Gênero? Masculino
133,8,Gênero?,Masculino,Gênero? Masculino
134,9,Gênero?,Feminino,Gênero? Feminino
135,10,Gênero?,Feminino,Gênero? Feminino
136,11,Gênero?,Feminino,Gênero? Feminino
137,12,Gênero?,Feminino,Gênero? Feminino
138,13,Gênero?,Masculino,Gênero? Masculino
139,14,Gênero?,Masculino,Gênero? Masculino
140,15,Gênero?,Feminino,Gênero? Feminino
141,16,Gênero?,Masculino,Gênero? Masculino
142,17,Gênero?,Masculino,Gênero? Masculino
143,18,Gênero?,Masculino,Gênero? Masculino
144,19,Gênero?,Masculino,Gênero? Masculino
145,20,Gênero?,Feminino,Gênero? Feminino
146,21,Gênero?,Feminino,Gênero? Feminino
147,22,Gênero?,Masculino,Gênero? Masculino
148,23,Gênero?,Masculino,Gênero? Masculino
149,24,Gênero?,Masculino,Gênero? Masculino
150,25,Gênero?,Feminino,Gênero? Feminino
151,26,Gênero?,Masculino,Gênero? Masculino
152,27,Gênero?,Masculino,Gênero? Masculino
153,28,Gênero?,Feminino,Gênero? Feminino
154,29,Gênero?,Masculino,Gênero? Masculino
155,30,Gênero?,Feminino,Gênero? Feminino
156,31,Gênero?,Feminino,Gênero? Feminino
157,32,Gênero?,Feminino,Gênero? Feminino
158,33,Gênero?,Masculino,Gênero? Masculino
159,34,Gênero?,Masculino,Gênero? Masculino
160,35,Gênero?,Feminino,Gênero? Feminino
161,36,Gênero?,Masculino,Gênero? Masculino
162,37,Gênero?,Feminino,Gênero? Feminino
163,38,Gênero?,Feminino,Gênero? Feminino
164,39,Gênero?,Feminino,Gênero? Feminino
165,40,Gênero?,Feminino,Gênero? Feminino
166,41,Gênero?,Feminino,Gênero? Feminino
167,42,Gênero?,Feminino,Gênero? Feminino
168,43,Gênero?,Feminino,Gênero? Feminino
169,44,Gênero?,Masculino,Gênero? Masculino
170,45,Gênero?,Masculino,Gênero? Masculino
171,46,Gênero?,Masculino,Gênero? Masculino
172,47,Gênero?,Feminino,Gênero? Feminino
173,48,Gênero?,Feminino,Gênero? Feminino
174,49,Gênero?,Masculino,Gênero? Masculino
175,50,Gênero?,Feminino,Gênero? Feminino
176,51,Gênero?,Masculino,Gênero? Masculino
177,52,Gênero?,Masculino,Gênero? Masculino
178,53,Gênero?,Feminino,Gênero? Feminino
179,54,Gênero?,Feminino,Gênero? Feminino
180,55,Gênero?,Masculino,Gênero? Masculino
181,56,Gênero?,Feminino,Gênero? Feminino
182,57,Gênero?,Feminino,Gênero? Feminino
183,58,Gênero?,Masculino,Gênero? Masculino
184,59,Gênero?,Masculino,Gênero? Masculino
185,60,Gênero?,Masculino,Gênero? Masculino
186,61,Gênero?,Masculino,Gênero? Masculino
187,62,Gênero?,Feminino,Gênero? Feminino
188,63,Gênero?,Feminino,Gênero? Feminino
189,64,Gênero?,Feminino,Gênero? Feminino
190,65,Gênero?,Masculino,Gênero? Masculino
191,66,Gênero?,Masculino,Gênero? Masculino
192,67,Gênero?,Feminino,Gênero? Feminino
193,68,Gênero?,Feminino,Gênero? Feminino
194,69,Gênero?,Feminino,Gênero? Feminino
195,70,Gênero?,Feminino,Gênero? Feminino
196,71,Gênero?,Feminino,Gênero? Feminino
197,72,Gênero?,Masculino,Gênero? Masculino
198,73,Gênero?,Masculino,Gênero? Masculino
199,74,Gênero?,Masculino,Gênero? Masculino
200,75,Gênero?,Masculino,Gênero? Masculino
201,76,Gênero?,Masculino,Gênero? Masculino
202,77,Gênero?,Masculino,Gênero? Masculino
203,78,Gênero?,Masculino,Gênero? Masculino
204,79,Gênero?,Feminino,Gênero? Feminino
205,80,Gênero?,Feminino,Gênero? Feminino
206,81,Gênero?,Feminino,Gênero? Feminino
207,82,Gênero?,Feminino,Gênero? Feminino
208,83,Gênero?,Feminino,Gênero? Feminino
209,84,Gênero?,Feminino,Gênero? Feminino
210,85,Gênero?,Feminino,Gênero? Feminino
211,86,Gênero?,Masculino,Gênero? Masculino
212,87,Gênero?,Feminino,Gênero? Feminino
213,88,Gênero?,Masculino,Gênero? Masculino
214,89,Gênero?,Masculino,Gênero? Masculino
215,90,Gênero?,Feminino,Gênero? Feminino
216,91,Gênero?,Masculino,Gênero? Masculino
217,92,Gênero?,Feminino,Gênero? Feminino
218,93,Gênero?,Feminino,Gênero? Feminino
219,94,Gênero?,Masculino,Gênero? Masculino
220,95,Gênero?,Feminino,Gênero? Feminino
221,96,Gênero?,Feminino,Gênero? Feminino
222,97,Gênero?,Masculino,Gênero? Masculino
223,98,Gênero?,Feminino,Gênero? Feminino
224,99,Gênero?,Masculino,Gênero? Masculino
225,100,Gênero?,Feminino,Gênero? Feminino
226,101,Gênero?,Masculino,Gênero? Masculino
227,102,Gênero?,Feminino,Gênero? Feminino
228,103,Gênero?,Masculino,Gênero? Masculino
229,104,Gênero?,Feminino,Gênero? Feminino
230,105,Gênero?,Masculino,Gênero? Masculino
231,106,Gênero?,Masculino,Gênero? Masculino
232,107,Gênero?,Feminino,Gênero? Feminino
233,108,Gênero?,Masculino,Gênero? Masculino
234,109,Gênero?,Masculino,Gênero? Masculino
235,110,Gênero?,Masculino,Gênero? Masculino
236,111,Gênero?,Masculino,Gênero? Masculino
237,112,Gênero?,Feminino,Gênero? Feminino
238,113,Gênero?,Masculino,Gênero? Masculino
239,114,Gênero?,Masculino,Gênero? Masculino
240,115,Gênero?,Feminino,Gênero? Feminino
241,116,Gênero?,Masculino,Gênero? Masculino
242,117,Gênero?,Masculino,Gênero? Masculino
243,118,Gênero?,Masculino,Gênero? Masculino
244,119,Gênero?,Feminino,Gênero? Feminino
245,120,Gênero?,Masculino,Gênero? Masculino
246,121,Gênero?,Masculino,Gênero? Masculino
247,122,Gênero?,Feminino,Gênero? Feminino
248,123,Gênero?,Masculino,Gênero? Masculino
249,124,Gênero?,Masculino,Gênero? Masculino
250,0,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
251,1,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
252,2,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
253,3,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
254,4,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
255,5,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
256,6,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
257,7,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
258,8,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
259,9,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
260,10,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
261,11,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
262,12,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
263,13,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
264,14,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
265,15,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
266,16,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
267,17,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
268,18,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
269,19,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
270,20,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
271,21,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
272,22,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
273,23,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
274,24,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
275,25,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
276,26,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
277,27,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
278,28,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
279,29,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
280,30,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
281,31,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
282,32,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
283,33,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
284,34,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
285,35,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
286,36,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
287,37,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
288,38,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
289,39,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
290,40,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
291,41,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
292,42,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
293,43,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
294,44,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
295,45,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
296,46,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
297,47,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
298,48,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
299,49,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
300,50,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
301,51,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
302,52,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
303,53,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
304,54,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
305,55,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
306,56,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
307,57,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
308,58,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
309,59,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
310,60,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
311,61,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
312,62,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
313,63,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
314,64,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
315,65,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
316,66,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
317,67,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
318,68,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
319,69,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
320,70,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
321,71,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
322,72,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
323,73,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
324,74,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
325,75,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
326,76,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
327,77,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
328,78,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
329,79,Qual sua formação acadêmica?,Ensino Superior em andamento,Qual sua formação acadêmica? Ensino Superior em andamento
330,80,Qual sua formação acadêmica?,Ensino Superior completo,Qual sua formação acadêmica? Ensino Superior completo
331,81,Qual sua formação acadêmica?,"Pós-graduação (especialização), mestrado ou doutorado","Qual sua formação acadêmica? Pós-graduação (especialização), mestrado ou doutorado"
332,82,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
333,83,Qual sua formação acadêmica?,Ensino Médio,Qual sua formação acadêmica? Ensino Médio
